occupation,mapped_major
Respiratory Therapy Technicians,Health professions and related programs
Veterinary Technologists and Technicians,Biological/life sciences
Orthotists and Prosthetists,Health professions and related programs
Occupational Health and Safety Technicians,Health professions and related programs
Athletic Trainers,Health professions and related programs
"Healthcare Practitioners and Technical Workers, All Other*",Health professions and related programs
Psychiatric Aides,Health professions and related programs
Occupational Therapy Assistants,Health professions and related programs
Occupational Therapy Aides,Health professions and related programs
Medical Equipment Preparers,Health professions and related programs
Fire Inspectors and Investigators,"Homeland Security, law enforcement, firefighting, and protective services"
Parking Enforcement Workers,"Homeland Security, law enforcement, firefighting, and protective services"
Animal Control Workers,Natural resources and conservation
Private Detectives and Investigators,"Homeland Security, law enforcement, firefighting, and protective services"
Gaming Surveillance Officers and Gaming Investigators,"Homeland Security, law enforcement, firefighting, and protective services"
Transportation Security Screeners* (federal only),"Homeland Security, law enforcement, firefighting, and protective services"
"Cooks, All Other",Personal and culinary services
"Food Preparation and Serving Related Workers, All Other",Personal and culinary services
Pest Control Workers,Natural resources and conservation
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Agriculture
"Grounds Maintenance Workers, All Other",Parks and recreation
Gaming Supervisors,Business/marketing
Animal Trainers,Other
Gaming Dealers,Other
Gaming and Sports Book Writers and Runners,Business/marketing
"Gaming Service Workers, All Other",Other
Motion Picture Projectionists,Other
Costume Attendants,Visual and performing arts
"Funeral Service Managers, Directors, Morticians, and Undertakers",Other
"Makeup Artists, Theatrical and Performance",Visual and performing arts
Manicurists and Pedicurists,Personal and culinary services
Baggage Porters and Bellhops,Transportation and materials moving
Tour Guides and Escorts,Parks and recreation
Travel Guides,Parks and recreation
"Personal Care and Service Workers, All Other",Personal and culinary services
Gaming Change Persons and Booth Cashiers,Other
Real Estate Brokers,Business/marketing
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Business/marketing
Gaming Cage Workers,Business/marketing
Brokerage Clerks,Business/marketing
Correspondence Clerks,Communication/journalism
"Credit Authorizers, Checkers, and Clerks",Business/marketing
"Library Assistants, Clerical",Library science
Cargo and Freight Agents,Transportation and materials moving
Couriers and Messengers,Transportation and materials moving
"Meter Readers, Utilities",Other
Insurance Claims and Policy Processing Clerks,Business/marketing
Statistical Assistants,Mathematics and statistics
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Agriculture
Animal Breeders,Agriculture
"Graders and Sorters, Agricultural Products",Agriculture
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Agriculture
"Farmworkers, Farm, Ranch, and Aquacultural Animals",Agriculture
"Agricultural Workers, All Other",Natural resources and conservation
Forest and Conservation Workers,Natural resources and conservation
Carpet Installers,Construction trades
"Floor Layers, Except Carpet, Wood, and Hard Tiles",Construction trades
Floor Sanders and Finishers,Construction trades
Tile and Marble Setters,Construction trades
Terrazzo Workers and Finishers,Construction trades
"Paving, Surfacing, and Tamping Equipment Operators",Construction trades
Drywall and Ceiling Tile Installers,Construction trades
"Insulation Workers, Mechanical",Construction trades
Reinforcing Iron and Rebar Workers,Construction trades
Structural Iron and Steel Workers,Construction trades
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Construction trades
Helpers--Carpenters,Construction trades
Helpers--Electricians,Construction trades
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Construction trades
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction trades
Helpers--Roofers,Construction trades
"Helpers, Construction Trades, All Other",Construction trades
Elevator Installers and Repairers,Construction trades
Fence Erectors,Construction trades
Hazardous Materials Removal Workers,Natural resources and conservation
Highway Maintenance Workers,Construction trades
Septic Tank Servicers and Sewer Pipe Cleaners,Construction trades
"Construction and Related Workers, All Other*",Construction trades
"Derrick Operators, Oil and Gas",Natural resources and conservation
"Rotary Drill Operators, Oil and Gas",Natural resources and conservation
"Service Unit Operators, Oil, Gas, and Mining",Natural resources and conservation
"Earth Drillers, Except Oil and Gas",Construction trades
"Roustabouts, Oil and Gas",Natural resources and conservation
Helpers--Extraction Workers,Natural resources and conservation
"Radio, Cellular, and Tower Equipment Installers and Repairs",Mechanic and repair technologies
Avionics Technicians,Engineering
"Electric Motor, Power Tool, and Related Repairers",Mechanic and repair technologies
"Electrical and Electronics Installers and Repairers, Transportation Equipment",Engineering
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Engineering
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Engineering
"Electronic Equipment Installers and Repairers, Motor Vehicles",Mechanic and repair technologies
Electronic Home Entertainment Equipment Installers and Repairers,Engineering technologies
Security and Fire Alarm Systems Installers,Construction trades
Aircraft Mechanics and Service Technicians,Mechanic and repair technologies
Automotive Glass Installers and Repairers,Mechanic and repair technologies
Farm Equipment Mechanics and Service Technicians,Mechanic and repair technologies
"Mobile Heavy Equipment Mechanics, Except Engines",Mechanic and repair technologies
Rail Car Repairers,Mechanic and repair technologies
Motorboat Mechanics and Service Technicians,Mechanic and repair technologies
Motorcycle Mechanics,Mechanic and repair technologies
Bicycle Repairers,Mechanic and repair technologies
Recreational Vehicle Service Technicians,Mechanic and repair technologies
Mechanical Door Repairers,Mechanic and repair technologies
"Control and Valve Installers and Repairers, Except Mechanical Door",Mechanic and repair technologies
"Refractory Materials Repairers, Except Brickmasons",Construction trades
Camera and Photographic Equipment Repairers,Mechanic and repair technologies
Medical Equipment Repairers,Mechanic and repair technologies
Musical Instrument Repairers and Tuners,Precision production
Watch Repairers,Mechanic and repair technologies
"Precision Instrument and Equipment Repairers, All Other",Precision production
"Coin, Vending, and Amusement Machine Servicers and Repairers",Mechanic and repair technologies
"Fabric Menders, Except Garment",Precision production
Locksmiths and Safe Repairers,Mechanic and repair technologies
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Engineering
"Coil Winders, Tapers, and Finishers",Precision production
Structural Metal Fabricators and Fitters,Precision production
Fiberglass Laminators and Fabricators,Construction trades
Timing Device Assemblers and Adjusters,Precision production
"Meat, Poultry, and Fish Cutters and Trimmers",Agriculture
Slaughterers and Meat Packers,Agriculture
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Family and consumer sciences
Food Cooking Machine Operators and Tenders,Family and consumer sciences
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Precision production
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Precision production
Metal-Refining Furnace Operators and Tenders,Precision production
"Pourers and Casters, Metal",Precision production
"Model Makers, Metal and Plastic",Precision production
"Patternmakers, Metal and Plastic",Precision production
Foundry Mold and Coremakers,Precision production
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Precision production
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Layout Workers, Metal and Plastic",Precision production
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Tool Grinders, Filers, and Sharpeners",Precision production
"Metal Workers and Plastic Workers, All Other",Precision production
"Pressers, Textile, Garment, and Related Materials",Precision production
Sewing Machine Operators,Precision production
Shoe and Leather Workers and Repairers,Precision production
Shoe Machine Operators and Tenders,Precision production
"Sewers, Hand",Family and consumer sciences
"Tailors, Dressmakers, and Custom Sewers",Family and consumer sciences
Textile Bleaching and Dyeing Machine Operators and Tenders,Precision production
"Textile Cutting Machine Setters, Operators, and Tenders",Precision production
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Precision production
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Precision production
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Precision production
Fabric and Apparel Patternmakers,Family and consumer sciences
"Textile, Apparel, and Furnishings Workers, All Other",Family and consumer sciences
Furniture Finishers,Precision production
"Sawing Machine Setters, Operators, and Tenders, Wood",Precision production
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Precision production
"Woodworkers, All Other",Precision production
Chemical Plant and System Operators,Engineering
Gas Plant Operators,Engineering
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Engineering
"Plant and System Operators, All Other",Natural resources and conservation
Chemical Equipment Operators and Tenders,Engineering
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Precision production
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Precision production
"Grinding and Polishing Workers, Hand",Precision production
"Cutters and Trimmers, Hand",Precision production
"Cutting and Slicing Machine Setters, Operators, and Tenders",Precision production
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Precision production
Jewelers and Precious Stone and Metal Workers,Precision production
Medical Appliance Technicians,Mechanic and repair technologies
Ophthalmic Laboratory Technicians,Precision production
"Painting, Coating, and Decorating Workers",Visual and performing arts
Semiconductor Processors,Engineering
Photographic Process Workers and Processing Machine Operators,Precision production
Adhesive Bonding Machine Operators and Tenders,Precision production
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Precision production
Cooling and Freezing Equipment Operators and Tenders,Precision production
Etchers and Engravers,Visual and performing arts
"Molders, Shapers, and Casters, Except Metal and Plastic",Precision production
"Paper Goods Machine Setters, Operators, and Tenders",Precision production
Tire Builders,Precision production
Aircraft Cargo Handling Supervisors,Transportation and materials moving
"Airline Pilots, Copilots, and Flight Engineers",Engineering
Commercial Pilots,Transportation and materials moving
Air Traffic Controllers,Engineering
Airfield Operations Specialists,Transportation and materials moving
Flight Attendants,Other
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Transportation and materials moving
Locomotive Engineers,Transportation and materials moving
Sailors and Marine Oilers,Transportation and materials moving
"Captains, Mates, and Pilots of Water Vessels",Transportation and materials moving
Motorboat Operators,Transportation and materials moving
Ship Engineers,Engineering
Transportation Inspectors,Transportation and materials moving
"Transportation Attendants, Except Flight Attendants",Transportation and materials moving
"Transportation Workers, All Other",Transportation and materials moving
Conveyor Operators and Tenders,Transportation and materials moving
Crane and Tower Operators,Construction trades
Excavating and Loading Machine and Dragline Operators,Construction trades
Machine Feeders and Offbearers,Precision production
"Pump Operators, Except Wellhead Pumpers",Construction trades
Wellhead Pumpers,Natural resources and conservation
"Mathematical Science Occupations, All Other",Mathematics and statistics
Marine Engineers and Naval Architects,Engineering
Slot Supervisors,Business/marketing
"Entertainment Attendants and Related Workers, All Other",Parks and recreation
Agricultural Inspectors,Natural resources and conservation
Commercial Divers,Other
"Material Moving Workers, All Other",Transportation and materials moving
"Administrative Law Judges, Adjudicators, and Hearing Officers",Law/legal studies
"Judges, Magistrate Judges, and Magistrates",Law/legal studies
Animal Scientists,Biological/life sciences
Industrial-Organizational Psychologists,Psychology
Court Reporters,Communication/journalism
Farm and Home Management Advisors,Family and consumer sciences
Radio Operators,Communication technologies
Pile-Driver Operators,Construction trades
"Explosives Workers, Ordnance Handling Experts, and Blasters",Engineering
"Extraction Workers, All Other",Natural resources and conservation
Traffic Technicians,Transportation and materials moving
"Building Cleaning Workers, All Other",Construction trades
Mathematical Technicians,Mathematics and statistics
Transit and Railroad Police,"Homeland Security, law enforcement, firefighting, and protective services"
Agricultural Equipment Operators,Agriculture
Agricultural Engineers,Natural resources and conservation
Logging Equipment Operators,Natural resources and conservation
Mine Cutting and Channeling Machine Operators,Precision production
Human Resources Specialists,Business/marketing
Labor Relations Specialists,Public administration and social services
"Meeting, Convention, and Event Planners",Other
Fundraisers,Business/marketing
Market Research Analysts and Marketing Specialists,Business/marketing
"Business Operations Specialists, All Other",Business/marketing
Information Security Analysts,Computer and information sciences
Web Developers,Computer and information sciences
Network and Computer Systems Administrators,Computer and information sciences
Computer Network Architects,Computer and information sciences
Computer User Support Specialists,Computer and information sciences
Computer Network Support Specialists,Computer and information sciences
"Computer Occupations, All Other",Computer and information sciences
Community Health Workers,Public administration and social services
"Community and Social Service Specialists, All Other",Public administration and social services
Paralegals and Legal Assistants,Law/legal studies
"Special Education Teachers, Kindergarten and Elementary School",Education
Substitute Teachers,Education
"Teachers and Instructors, All Other, Except Substitute Teachers",Education
"Therapists, All Other",Health professions and related programs
Registered Nurses,Health professions and related programs
Nurse Practitioners,Health professions and related programs
Radiologic Technologists,Health professions and related programs
"Health Technologists and Technicians, All Other",Health professions and related programs
Nursing Assistants,Health professions and related programs
Phlebotomists,Health professions and related programs
"Healthcare Support Workers, All Other",Health professions and related programs
"Sales and Related Workers, All Other",Business/marketing
"Financial Clerks, All Other",Business/marketing
"Office and Administrative Support Workers, All Other",Business/marketing
"Installation, Maintenance, and Repair Workers, All Other",Mechanic and repair technologies
"Production Workers, All Other",Precision production
Funeral Service Managers,Other
"Special Education Teachers, Preschool",Education
"Special Education Teachers, All Other",Education
Exercise Physiologists,Health professions and related programs
Nurse Anesthetists,Health professions and related programs
Nurse Midwives,Health professions and related programs
Magnetic Resonance Imaging Technologists,Health professions and related programs
Ophthalmic Medical Technicians,Health professions and related programs
Hearing Aid Specialists,Health professions and related programs
Genetic Counselors,Biological/life sciences
"Healthcare Practitioners and Technical Workers, All Other",Health professions and related programs
Orderlies,Health professions and related programs
Transportation Security Screeners,"Homeland Security, law enforcement, firefighting, and protective services"
"Protective Service Workers, All Other","Homeland Security, law enforcement, firefighting, and protective services"
"Morticians, Undertakers, and Funeral Directors",Other
Solar Photovoltaic Installers,Construction trades
"Construction and Related Workers, All Other",Construction trades
"Radio, Cellular, and Tower Equipment Installers and Repairers",Engineering technologies
"Food Processing Workers, All Other",Family and consumer sciences
Gas Compressor and Gas Pumping Station Operators,Engineering
Continuous Mining Machine Operators,Construction trades
Fallers,Natural resources and conservation
Oral and Maxillofacial Surgeons,Health professions and related programs
Forest Fire Inspectors and Prevention Specialists,Natural resources and conservation
Fish and Game Wardens,Natural resources and conservation
"Model Makers, Wood",Precision production
"Rail Transportation Workers, All Other",Transportation and materials moving
Fishers and Related Fishing Workers,Natural resources and conservation
"Rock Splitters, Quarry",Construction trades
Subway and Streetcar Operators,Transportation and materials moving
"Tank Car, Truck, and Ship Loaders",Transportation and materials moving
Signal and Track Switch Repairers,Mechanic and repair technologies
Rail-Track Laying and Maintenance Equipment Operators,Construction trades
"Patternmakers, Wood",Precision production
Buyers and Purchasing Agents,Business/marketing
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Psychology
Clinical Laboratory Technologists and Technicians,Health professions and related programs
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",Precision production
"Assemblers and Fabricators, All Other, Including Team Assemblers",Precision production
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",Transportation and materials moving
"Cooks, Private Household",Personal and culinary services
First-Line Supervisors of Gaming Workers,Business/marketing
Tour and Travel Guides,Parks and recreation
Miscellaneous Construction and Related Workers,Construction trades
Miscellaneous Mathematical Science Occupations,Mathematics and statistics
Hoist and Winch Operators,Construction trades
Administrative Services and Facilities Managers,Business/marketing
"Education and Childcare Administrators, Preschool and Daycare",Education
"Education Administrators, Kindergarten through Secondary",Education
"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",Parks and recreation
"Project Management Specialists and Business Operations Specialists, All Other",Business/marketing
Property Appraisers and Assessors,Other
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",Business/marketing
Database Administrators and Architects,Computer and information sciences
Software Developers and Software Quality Assurance Analysts and Testers,Computer and information sciences
Web Developers and Digital Interface Designers,Computer and information sciences
Bioengineers and Biomedical Engineers,Biological/life sciences
Civil Engineering Technologists and Technicians,Engineering technologies
Electrical and Electronic Engineering Technologists and Technicians,Engineering technologies
Industrial Engineering Technologists and Technicians,Engineering technologies
Mechanical Engineering Technologists and Technicians,Engineering technologies
"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",Engineering technologies
"Educational, Guidance, and Career Counselors and Advisors",Education
Health Education Specialists,Health professions and related programs
Educational Instruction and Library Occupations,Education
"Career/Technical Education Teachers, Postsecondary",Education
Self-Enrichment Teachers,Visual and performing arts
"Substitute Teachers, Short-Term",Education
"Tutors and Teachers and Instructors, All Other",Education
Librarians and Media Collections Specialists,Library science
"Teaching Assistants, Postsecondary",Education
"Teaching Assistants, Except Postsecondary",Education
"Educational Instruction and Library Workers, All Other",Education
Special Effects Artists and Animators,Visual and performing arts
Audio and Video Technicians,Communication technologies
"Lighting Technicians and Media and Communication Equipment Workers, All Other",Visual and performing arts
Family Medicine Physicians,Health professions and related programs
General Internal Medicine Physicians,Health professions and related programs
"Physicians, All Other; and Ophthalmologists, Except Pediatric",Health professions and related programs
"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",Health professions and related programs
Radiologic Technologists and Technicians,Health professions and related programs
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",Health professions and related programs
"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",Health professions and related programs
Home Health and Personal Care Aides,Health professions and related programs
First-Line Supervisors of Firefighting and Prevention Workers,"Homeland Security, law enforcement, firefighting, and protective services"
Fast Food and Counter Workers,Personal and culinary services
"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",Parks and recreation
Animal Caretakers,Natural resources and conservation
Exercise Trainers and Group Fitness Instructors,Health professions and related programs
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Business/marketing
Public Safety Telecommunicators,"Homeland Security, law enforcement, firefighting, and protective services"
"Shipping, Receiving, and Inventory Clerks",Transportation and materials moving
Legal Secretaries and Administrative Assistants,Business/marketing
Medical Secretaries and Administrative Assistants,Health professions and related programs
Tile and Stone Setters,Construction trades
Miscellaneous Assemblers and Fabricators,Precision production
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Precision production
Computer Numerically Controlled Tool Operators,Precision production
Computer Numerically Controlled Tool Programmers,Precision production
Light Truck Drivers,Transportation and materials moving
"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",Transportation and materials moving
Parking Attendants,Other
Stockers and Order Fillers,Other
Gambling Managers,Business/marketing
Funeral Home Managers,Business/marketing
"Data Scientists and Mathematical Science Occupations, All Other",Mathematics and statistics
Aerospace Engineering and Operations Technologists and Technicians,Engineering
Electro-Mechanical and Mechatronics Technologists and Technicians,Engineering technologies
Environmental Engineering Technologists and Technicians,Natural resources and conservation
Geological and Hydrologic Technicians,Natural resources and conservation
"Family and Consumer Sciences Teachers, Postsecondary",Family and consumer sciences
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Education
"Miscellaneous Entertainers and Performers, Sports and Related Workers",Visual and performing arts
Broadcast Announcers and Radio Disc Jockeys,Communication/journalism
"News Analysts, Reporters, and Journalists",Communication/journalism
Court Reporters and Simultaneous Captioners,Communication/journalism
"Camera Operators, Television, Video, and Film",Visual and performing arts
"Surgeons, Except Ophthalmologists",Health professions and related programs
"Miscellaneous First-Line Supervisors, Protective Service Workers","Homeland Security, law enforcement, firefighting, and protective services"
Gambling Surveillance Officers and Gambling Investigators,"Homeland Security, law enforcement, firefighting, and protective services"
Crossing Guards and Flaggers,Other
"School Bus Monitors and Protective Service Workers, All Other","Homeland Security, law enforcement, firefighting, and protective services"
First-Line Supervisors of Gambling Services Workers,Business/marketing
Gambling Dealers,Other
Gambling and Sports Book Writers and Runners,Business/marketing
"Gambling Service Workers, All Other",Other
"Morticians, Undertakers, and Funeral Arrangers",Other
"Crematory Operators and Personal Care and Service Workers, All Other",Personal and culinary services
Gambling Change Persons and Booth Cashiers,Other
Gambling Cage Workers,Other
Elevator and Escalator Installers and Repairers,Construction trades
"Service Unit Operators, Oil and Gas",Natural resources and conservation
"Excavating and Loading Machine and Dragline Operators, Surface Mining",Natural resources and conservation
"Loading and Moving Machine Operators, Underground Mining",Natural resources and conservation
"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",Construction trades
Audiovisual Equipment Installers and Repairers,Communication technologies
Watch and Clock Repairers,Precision production
Semiconductor Processing Technicians,Engineering
"Rail Yard Engineers, Dinkey Operators, and Hostlers",Transportation and materials moving
Passenger Attendants,Transportation and materials moving
"Aircraft Service Attendants and Transportation Workers, All Other",Transportation and materials moving
"Underground Mining Machine Operators and Extraction Workers, All Other",Natural resources and conservation
Public Relations Managers,Communication/journalism
Fundraising Managers,Business/marketing
Facilities Managers,Construction trades
"Entertainment and Recreation Managers, Except Gambling",Parks and recreation
Project Management Specialists,Business/marketing
Financial and Investment Analysts,Business/marketing
Financial Risk Specialists,Business/marketing
Database Architects,Computer and information sciences
Software Developers,Computer and information sciences
Software Quality Assurance Analysts and Testers,Computer and information sciences
Web and Digital Interface Designers,Computer and information sciences
Data Scientists,Mathematics and statistics
Calibration Technologists and Technicians,Engineering technologies
"Engineering Technologists and Technicians, Except Drafters, All Other",Engineering technologies
Clinical and Counseling Psychologists,Psychology
School Psychologists,Psychology
Tutors,Education
"Teachers and Instructors, All Other",Education
"Physicians, All Other",Health professions and related programs
"Surgeons, All Other",Health professions and related programs
"Healthcare Diagnosing or Treating Practitioners, All Other",Health professions and related programs
Paramedics,Health professions and related programs
Medical Records Specialists,Health professions and related programs
Health Information Technologists and Medical Registrars,Health professions and related programs
First-Line Supervisors of Security Workers,"Homeland Security, law enforcement, firefighting, and protective services"
School Bus Monitors,Education
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Parks and recreation
"Bus Drivers, School",Transportation and materials moving
Shuttle Drivers and Chauffeurs,Transportation and materials moving
"Personal Service Managers, All Other",Personal and culinary services
Agricultural Technicians,Natural resources and conservation
Food Science Technicians,Family and consumer sciences
"Geological Technicians, Except Hydrologic Technicians",Natural resources and conservation
Hydrologic Technicians,Natural resources and conservation
Lighting Technicians,Visual and performing arts
Cardiologists,Health professions and related programs
Dermatologists,Health professions and related programs
Emergency Medicine Physicians,Health professions and related programs
Neurologists,Biological/life sciences
"Physicians, Pathologists",Health professions and related programs
Radiologists,Health professions and related programs
"Orthopedic Surgeons, Except Pediatric",Health professions and related programs
Acupuncturists,Health professions and related programs
Emergency Medical Technicians,Health professions and related programs
Taxi Drivers,Transportation and materials moving
Aircraft Service Attendants,Transportation and materials moving
"Ophthalmologists, Except Pediatric",Health professions and related programs
Pile Driver Operators,Construction trades
Surgical Assistants,Health professions and related programs
"Logging Workers, All Other",Natural resources and conservation
"Disc Jockeys, Except Radio",Visual and performing arts
Crematory Operators,Other
